event_no,onset_date,onset_time,peak_flux
1,2012-01-02,15:37:31.743000,169.4333038330078
2,2012-01-05,15:07:34.914000,45.188133239746094
3,2012-01-19,13:12:30.970000,313.11956787109375
4,2012-01-19,19:17:30.970000,299.3624267578125
5,2012-01-20,03:32:40.449000,515.223876953125
6,2012-01-21,16:32:37.693000,1906.3358154296875
7,2012-01-21,20:17:37.693000,2764.232177734375
8,2012-01-22,03:12:34.938000,5287.64501953125
9,2012-01-22,05:02:34.938000,11150.8525390625
10,2012-01-22,23:27:34.938000,2605.284423828125
11,2012-01-23,03:42:32.264000,93472.3125
12,2012-01-23,16:12:32.264000,135974.265625
13,2012-01-24,07:22:41.678000,144504.875
14,2012-01-24,13:32:41.678000,214666.015625
15,2012-01-27,18:42:33.479000,28796.25390625
16,2012-01-28,04:12:30.806000,42220.10546875
17,2012-01-28,09:17:30.806000,49399.45703125
18,2012-01-30,03:02:37.281000,12789.267578125
19,2012-02-24,13:27:42.009000,245.02273559570312
20,2012-02-25,20:07:35.301000,22794.759765625
21,2012-02-26,19:07:40.986000,22181.716796875
22,2012-02-27,11:12:33.789000,6716.18017578125
23,2012-02-28,09:52:39.203000,958.5830688476562
24,2012-03-06,06:22:37.071000,3171.1943359375
25,2012-03-06,15:22:37.071000,2418.92333984375
26,2012-03-07,02:57:41.660000,12901.5234375
27,2012-03-07,06:12:41.660000,34852.65234375
28,2012-03-07,08:27:41.660000,111380.9921875
29,2012-03-07,10:17:41.660000,216948.3125
30,2012-03-12,05:37:49.890000,31027.703125
31,2012-03-13,02:17:41.296000,5682.875
32,2012-03-13,17:22:41.296000,25842.34375
33,2012-03-14,10:17:32.719000,18088.703125
34,2012-03-15,16:12:48.920000,4769.158203125
35,2012-03-31,16:37:40.047000,1219.300048828125
36,2012-04-03,03:32:31.596000,784.9876098632812
37,2012-04-05,02:02:33.036000,557.67431640625
38,2012-04-05,22:12:33.036000,408.9215393066406
39,2012-04-07,06:12:34.174000,222.48452758789062
40,2012-04-09,13:27:35.020000,231.22381591796875
41,2012-04-10,14:57:47.175000,799.3949584960938
42,2012-04-11,06:42:34.836000,1355.93994140625
43,2012-04-18,18:42:41.790000,71.64469146728516
44,2012-04-21,05:52:49.122000,217.95724487304688
45,2012-04-22,03:27:35.043000,385.0516662597656
46,2012-04-23,01:37:45.034000,451.55206298828125
47,2012-05-01,13:17:46.709000,36.111167907714844
48,2012-05-07,05:07:50.273000,73.8125228881836
49,2012-05-07,14:37:50.273000,920.368896484375
50,2012-05-08,18:42:31.678000,396.90692138671875
51,2012-05-08,22:17:31.678000,196.89683532714844
52,2012-05-14,09:42:38.996000,403.8964538574219
53,2012-05-15,21:52:44.069000,104.18356323242188
54,2012-05-17,01:47:47.728000,14188.9892578125
55,2012-05-17,18:07:47.728000,6167.62744140625
56,2012-05-18,01:22:39.839000,6474.31640625
57,2012-05-26,21:12:34.511000,2369.13427734375
58,2012-05-28,00:52:41.023000,1236.8892822265625
59,2012-06-08,07:32:41.292000,368.7505798339844
60,2012-06-11,22:57:33.343000,263.44219970703125
61,2012-06-12,22:27:34.663000,106.92794799804688
62,2012-06-16,09:02:38.638000,2435.42724609375
63,2012-06-16,13:37:38.638000,5201.216796875
64,2012-06-17,08:02:39.158000,4395.48193359375
65,2012-06-19,04:02:39.942000,371.1385803222656
66,2012-07-01,01:27:38.930000,520.9229736328125
67,2012-07-01,20:52:38.930000,331.7005615234375
68,2012-07-02,18:47:36.870000,603.1760864257812
69,2012-07-03,21:57:36.754000,477.8927917480469
70,2012-07-04,17:07:36.049000,359.4005126953125
71,2012-07-05,22:27:35.275000,978.3748779296875
72,2012-07-06,23:27:34.213000,5472.0419921875
73,2012-07-07,01:17:33.504000,27232.35546875
74,2012-07-08,22:22:32.529000,9079.455078125
75,2012-07-09,04:47:31.805000,4531.8837890625
76,2012-07-12,17:02:41.329000,6466.51513671875
77,2012-07-13,17:02:40.340000,8917.2119140625
78,2012-07-14,10:22:39.380000,31596.611328125
79,2012-07-14,14:42:39.380000,37590.0234375
80,2012-07-17,14:52:36.012000,2358.908935546875
81,2012-07-20,04:02:32.778000,20175.763671875
82,2012-07-21,16:27:32.142000,2456.035888671875
83,2012-07-23,04:52:30.030000,1445.6824951171875
84,2012-07-28,22:22:37.590000,2421.845458984375
85,2012-07-30,20:43:37.829000,1458.74658203125
86,2012-07-31,13:42:35.580000,2035.098388671875
87,2012-08-08,12:37:33.477000,423.3313903808594
88,2012-08-13,17:07:38.542000,406.924072265625
89,2012-08-19,13:57:39.546000,321.29400634765625
90,2012-08-31,20:47:39.516000,462.37481689453125
91,2012-09-01,10:22:35.534000,4241.11572265625
92,2012-09-01,23:47:31.013000,7755.30322265625
93,2012-09-02,03:07:31.013000,7834.3154296875
94,2012-09-02,05:22:31.013000,7748.60693359375
95,2012-09-02,07:52:31.013000,14047.9287109375
96,2012-09-03,11:17:39.257000,36408.02734375
97,2012-09-12,08:22:31.330000,254.81326293945312
98,2012-09-12,23:32:31.330000,912.994873046875
99,2012-09-19,04:47:38.170000,407.8042907714844
100,2012-09-23,04:12:31.362000,1091.8389892578125
101,2012-09-24,06:52:30.022000,3974.2294921875
102,2012-09-24,16:22:30.022000,3715.36962890625
103,2012-09-26,13:19:18.183000,5431.3935546875
104,2012-09-28,00:17:38.855000,14333.8525390625
105,2012-09-30,22:12:37.656000,14206.279296875
106,2012-10-01,04:17:37.335000,4063.43115234375
107,2012-10-06,12:52:38.256000,1571.44873046875
108,2012-10-06,17:17:38.256000,1748.5189208984375
109,2012-10-06,22:42:38.256000,2512.5078125
110,2012-10-07,14:32:38.848000,6177.99462890625
111,2012-10-09,08:17:40.555000,1404.265625
112,2012-10-09,10:02:40.555000,4382.056640625
113,2012-10-10,03:02:41.169000,324.5749816894531
114,2012-10-12,12:02:31.979000,151.79591369628906
115,2012-10-17,19:52:41.064000,79.14696502685547
116,2012-10-31,14:42:37.750000,282.260498046875
117,2012-11-04,21:07:31.486000,15.255779266357422
118,2012-11-07,12:42:34.061000,42.98584747314453
119,2012-11-12,15:07:35.901000,832.7752685546875
120,2012-11-12,18:57:35.901000,608.5519409179688
121,2012-11-12,21:52:35.901000,6423.25048828125
122,2012-11-13,02:38:32.239000,1711.091796875
123,2012-11-13,23:23:32.239000,509.0441589355469
124,2012-11-18,04:12:33.463000,448.0091247558594
125,2012-11-20,12:47:37.659000,1770.2796630859375
126,2012-11-23,19:42:39.048000,986.3231201171875
127,2012-11-24,14:17:35.698000,510.5860900878906
128,2012-11-26,10:47:41.508000,76.92164611816406
129,2012-12-14,12:48:54.067000,587.0067749023438
130,2012-12-14,16:18:54.067000,1542.2242431640625
131,2012-12-14,19:03:54.067000,3104.185791015625
132,2012-12-15,00:02:39.510000,8559.8076171875
133,2012-12-29,01:17:33.513000,24.020965576171875
